,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Label
0,2019-05-04,21.0,11.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,2019-05-03,43.0,20.0,0.31746031746031744,39.0,21.0,0.35,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,1
2,2019-05-02,39.0,21.0,0.35,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,0
3,2019-05-01,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,0
4,2019-04-30,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,0
5,2019-04-29,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,0
6,2019-04-28,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,1
7,2019-04-27,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,1
8,2019-04-26,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,1
9,2019-04-25,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,1
10,2019-04-24,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,1
11,2019-04-23,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,0
