,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-03,9,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-05-02,10,13,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2019-05-01,10,13,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2019-04-30,2,6,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2019-04-29,2,5,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,2019-04-26,12,11,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2019-04-25,11,14,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0.0,0.0,0.0,1
7,2019-04-24,3,9,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,9.0,6.0,0.4,0
8,2019-04-23,14,7,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,10.0,13.0,0.5652173913043478,0
9,2019-04-22,4,7,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,10.0,13.0,0.5652173913043478,1
10,2019-04-18,16,6,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,2.0,6.0,0.75,0
11,2019-04-17,6,7,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,2.0,5.0,0.7142857142857143,1
12,2019-04-16,9,12,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,12.0,11.0,0.4782608695652174,0
13,2019-04-15,11,5,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,11.0,14.0,0.56,1
14,2019-04-12,8,14,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,3.0,9.0,0.75,0
15,2019-04-11,4,5,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,14.0,7.0,0.3333333333333333,1
16,2019-04-10,4,14,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,4.0,7.0,0.6363636363636364,0
17,2019-04-09,9,13,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,16.0,6.0,0.2727272727272727,1
18,2019-04-08,11,14,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,6.0,7.0,0.5384615384615384,0
19,2019-04-05,11,19,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,9.0,12.0,0.5714285714285714,0
20,2019-04-04,14,19,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,11.0,5.0,0.3125,1
21,2019-04-03,14,10,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,8.0,14.0,0.6363636363636364,1
22,2019-04-02,7,8,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,4.0,5.0,0.5555555555555556,1
23,2019-04-01,12,27,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,4.0,14.0,0.7777777777777778,0
24,2019-03-29,18,10,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,9.0,13.0,0.5909090909090909,1
25,2019-03-28,6,12,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,11.0,14.0,0.56,1
26,2019-03-27,19,25,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,11.0,19.0,0.6333333333333333,1
27,2019-03-26,11,17,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,14.0,19.0,0.5757575757575758,0
28,2019-03-25,12,23,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,14.0,10.0,0.4166666666666667,1
29,2019-03-22,24,30,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,7.0,8.0,0.5333333333333333,1
30,2019-03-21,21,27,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,12.0,27.0,0.6923076923076923,0
31,2019-03-20,8,19,0.7037037037037037,21.0,27.0,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,18.0,10.0,0.35714285714285715,1
32,2019-03-19,8,20,0.7142857142857143,8.0,19.0,0.7037037037037037,21.0,27.0,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,6.0,12.0,0.6666666666666666,0
33,2019-03-18,7,14,0.6666666666666666,8.0,20.0,0.7142857142857143,8.0,19.0,0.7037037037037037,21.0,27.0,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,19.0,25.0,0.5681818181818182,0
34,2019-03-15,15,13,0.4642857142857143,7.0,14.0,0.6666666666666666,8.0,20.0,0.7142857142857143,8.0,19.0,0.7037037037037037,21.0,27.0,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,11.0,17.0,0.6071428571428571,1
35,2019-03-14,11,6,0.35294117647058826,15.0,13.0,0.4642857142857143,7.0,14.0,0.6666666666666666,8.0,20.0,0.7142857142857143,8.0,19.0,0.7037037037037037,21.0,27.0,0.5625,24.0,30.0,0.5555555555555556,12.0,23.0,0.6571428571428571,1
