,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
0,2019-05-03,7,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-05-02,15,8,0.34782608695652173,7.0,8.0,0.5333333333333333,0.0,0.0,0.0,1
2,2019-05-01,9,14,0.6086956521739131,15.0,8.0,0.34782608695652173,7.0,8.0,0.5333333333333333,0
3,2019-04-30,3,5,0.625,9.0,14.0,0.6086956521739131,15.0,8.0,0.34782608695652173,0
4,2019-04-29,5,2,0.2857142857142857,3.0,5.0,0.625,9.0,14.0,0.6086956521739131,1
5,2019-04-26,17,6,0.2608695652173913,5.0,2.0,0.2857142857142857,3.0,5.0,0.625,1
6,2019-04-25,20,5,0.2,17.0,6.0,0.2608695652173913,5.0,2.0,0.2857142857142857,1
7,2019-04-24,8,4,0.3333333333333333,20.0,5.0,0.2,17.0,6.0,0.2608695652173913,0
8,2019-04-23,10,11,0.5238095238095238,8.0,4.0,0.3333333333333333,20.0,5.0,0.2,0
9,2019-04-22,9,2,0.18181818181818182,10.0,11.0,0.5238095238095238,8.0,4.0,0.3333333333333333,1
10,2019-04-18,17,5,0.22727272727272727,9.0,2.0,0.18181818181818182,10.0,11.0,0.5238095238095238,0
11,2019-04-17,10,3,0.23076923076923078,17.0,5.0,0.22727272727272727,9.0,2.0,0.18181818181818182,1
12,2019-04-16,11,10,0.47619047619047616,10.0,3.0,0.23076923076923078,17.0,5.0,0.22727272727272727,0
13,2019-04-15,14,2,0.125,11.0,10.0,0.47619047619047616,10.0,3.0,0.23076923076923078,1
14,2019-04-12,11,11,0.5,14.0,2.0,0.125,11.0,10.0,0.47619047619047616,0
15,2019-04-11,8,1,0.1111111111111111,11.0,11.0,0.5,14.0,2.0,0.125,1
16,2019-04-10,16,2,0.1111111111111111,8.0,1.0,0.1111111111111111,11.0,11.0,0.5,0
17,2019-04-09,15,7,0.3181818181818182,16.0,2.0,0.1111111111111111,8.0,1.0,0.1111111111111111,1
18,2019-04-08,14,11,0.44,15.0,7.0,0.3181818181818182,16.0,2.0,0.1111111111111111,0
19,2019-04-05,20,10,0.3333333333333333,14.0,11.0,0.44,15.0,7.0,0.3181818181818182,0
