,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-03,18,21,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-05-02,32,17,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2019-05-01,23,24,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,2019-04-30,13,14,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2019-04-29,18,15,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2019-04-26,50,52,0.5098039215686274,18.0,15.0,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,1
6,2019-04-25,72,61,0.45864661654135336,50.0,52.0,0.5098039215686274,18.0,15.0,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0.0,0.0,0.0,0
7,2019-04-24,58,43,0.42574257425742573,72.0,61.0,0.45864661654135336,50.0,52.0,0.5098039215686274,18.0,15.0,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,18.0,21.0,0.5384615384615384,0
8,2019-04-23,17,15,0.46875,58.0,43.0,0.42574257425742573,72.0,61.0,0.45864661654135336,50.0,52.0,0.5098039215686274,18.0,15.0,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,32.0,17.0,0.3469387755102041,0
9,2019-04-22,17,18,0.5142857142857142,17.0,15.0,0.46875,58.0,43.0,0.42574257425742573,72.0,61.0,0.45864661654135336,50.0,52.0,0.5098039215686274,18.0,15.0,0.45454545454545453,13.0,14.0,0.5185185185185185,23.0,24.0,0.5106382978723404,1
