,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),label
0,2019-05-03,24.0,15.0,0.38461538461538464,24.0,25.0,0.5102040816326531,33.0,14.0,0.2978723404255319,15.0,12.0,0.4444444444444444,20.0,13.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.37254901960784315,1
1,2019-05-02,24.0,25.0,0.5102040816326531,33.0,14.0,0.2978723404255319,15.0,12.0,0.4444444444444444,20.0,13.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.37254901960784315,92.0,41.0,0.3082706766917293,1
2,2019-05-01,33.0,14.0,0.2978723404255319,15.0,12.0,0.4444444444444444,20.0,13.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.37254901960784315,92.0,41.0,0.3082706766917293,69.0,32.0,0.31683168316831684,0
3,2019-04-30,15.0,12.0,0.4444444444444444,20.0,13.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.37254901960784315,92.0,41.0,0.3082706766917293,69.0,32.0,0.31683168316831684,20.0,12.0,0.375,0
4,2019-04-29,20.0,13.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.37254901960784315,92.0,41.0,0.3082706766917293,69.0,32.0,0.31683168316831684,20.0,12.0,0.375,21.0,14.0,0.4,1
5,2019-04-26,64.0,38.0,0.37254901960784315,92.0,41.0,0.3082706766917293,69.0,32.0,0.31683168316831684,20.0,12.0,0.375,21.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2019-04-25,92.0,41.0,0.3082706766917293,69.0,32.0,0.31683168316831684,20.0,12.0,0.375,21.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.26666666666666666,0
7,2019-04-24,69.0,32.0,0.31683168316831684,20.0,12.0,0.375,21.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.26666666666666666,3.0,4.0,0.5714285714285714,0
8,2019-04-23,20.0,12.0,0.375,21.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.26666666666666666,3.0,4.0,0.5714285714285714,10.0,10.0,0.5,1
9,2019-04-22,21.0,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.26666666666666666,3.0,4.0,0.5714285714285714,10.0,10.0,0.5,11.0,12.0,0.5217391304347826,0
10,2019-04-18,11.0,4.0,0.26666666666666666,3.0,4.0,0.5714285714285714,10.0,10.0,0.5,11.0,12.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.47619047619047616,21.0,16.0,0.43243243243243246,1
11,2019-04-17,3.0,4.0,0.5714285714285714,10.0,10.0,0.5,11.0,12.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.47619047619047616,21.0,16.0,0.43243243243243246,9.0,7.0,0.4375,0
12,2019-04-16,10.0,10.0,0.5,11.0,12.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.47619047619047616,21.0,16.0,0.43243243243243246,9.0,7.0,0.4375,19.0,10.0,0.3448275862068966,1
13,2019-04-15,11.0,12.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.47619047619047616,21.0,16.0,0.43243243243243246,9.0,7.0,0.4375,19.0,10.0,0.3448275862068966,7.0,5.0,0.4166666666666667,0
14,2019-04-12,11.0,10.0,0.47619047619047616,21.0,16.0,0.43243243243243246,9.0,7.0,0.4375,19.0,10.0,0.3448275862068966,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.2727272727272727,0
15,2019-04-11,21.0,16.0,0.43243243243243246,9.0,7.0,0.4375,19.0,10.0,0.3448275862068966,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.2727272727272727,34.0,20.0,0.37037037037037035,0
16,2019-04-10,9.0,7.0,0.4375,19.0,10.0,0.3448275862068966,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.2727272727272727,34.0,20.0,0.37037037037037035,19.0,13.0,0.40625,1
17,2019-04-09,19.0,10.0,0.3448275862068966,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.2727272727272727,34.0,20.0,0.37037037037037035,19.0,13.0,0.40625,7.0,4.0,0.36363636363636365,0
18,2019-04-08,7.0,5.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.2727272727272727,34.0,20.0,0.37037037037037035,19.0,13.0,0.40625,7.0,4.0,0.36363636363636365,8.0,10.0,0.5555555555555556,0
19,2019-04-05,24.0,9.0,0.2727272727272727,34.0,20.0,0.37037037037037035,19.0,13.0,0.40625,7.0,4.0,0.36363636363636365,8.0,10.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.4166666666666667,1
20,2019-04-04,34.0,20.0,0.37037037037037035,19.0,13.0,0.40625,7.0,4.0,0.36363636363636365,8.0,10.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.4166666666666667,12.0,8.0,0.4,0
21,2019-04-03,19.0,13.0,0.40625,7.0,4.0,0.36363636363636365,8.0,10.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.4166666666666667,12.0,8.0,0.4,11.0,7.0,0.3888888888888889,1
22,2019-04-02,7.0,4.0,0.36363636363636365,8.0,10.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.4166666666666667,12.0,8.0,0.4,11.0,7.0,0.3888888888888889,18.0,4.0,0.18181818181818182,0
23,2019-04-01,8.0,10.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.4166666666666667,12.0,8.0,0.4,11.0,7.0,0.3888888888888889,18.0,4.0,0.18181818181818182,17.0,8.0,0.32,1
24,2019-03-29,14.0,10.0,0.4166666666666667,12.0,8.0,0.4,11.0,7.0,0.3888888888888889,18.0,4.0,0.18181818181818182,17.0,8.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.3157894736842105,1
25,2019-03-28,12.0,8.0,0.4,11.0,7.0,0.3888888888888889,18.0,4.0,0.18181818181818182,17.0,8.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.3157894736842105,14.0,7.0,0.3333333333333333,1
26,2019-03-27,11.0,7.0,0.3888888888888889,18.0,4.0,0.18181818181818182,17.0,8.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.3157894736842105,14.0,7.0,0.3333333333333333,14.0,9.0,0.391304347826087,1
27,2019-03-26,18.0,4.0,0.18181818181818182,17.0,8.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.3157894736842105,14.0,7.0,0.3333333333333333,14.0,9.0,0.391304347826087,19.0,13.0,0.40625,1
28,2019-03-25,17.0,8.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.3157894736842105,14.0,7.0,0.3333333333333333,14.0,9.0,0.391304347826087,19.0,13.0,0.40625,16.0,11.0,0.4074074074074074,0
