,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Date,Close
0,2019-05-03,10.0,5.0,0.3333333333333333,15.0,8.0,0.3478260869565217,13.0,10.0,0.43478260869565216,5.0,3.0,0.375,4.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.43478260869565216,5/3/19,26504.949219
1,2019-05-02,15.0,8.0,0.3478260869565217,13.0,10.0,0.43478260869565216,5.0,3.0,0.375,4.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.43478260869565216,18.0,7.0,0.28,5/2/19,26307.789063
2,2019-05-01,13.0,10.0,0.43478260869565216,5.0,3.0,0.375,4.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.43478260869565216,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,5/1/19,26430.140625
3,2019-04-30,5.0,3.0,0.375,4.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.43478260869565216,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,16.0,5.0,0.2380952380952381,4/30/19,26592.910156
4,2019-04-29,4.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.43478260869565216,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,16.0,5.0,0.2380952380952381,7.0,4.0,0.3636363636363637,4/29/19,26554.390625
5,2019-04-26,13.0,10.0,0.43478260869565216,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,16.0,5.0,0.2380952380952381,7.0,4.0,0.3636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/26/19,26543.330078
6,2019-04-25,18.0,7.0,0.28,7.0,5.0,0.4166666666666667,16.0,5.0,0.2380952380952381,7.0,4.0,0.3636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.7272727272727273,4/25/19,26462.080078
7,2019-04-24,7.0,5.0,0.4166666666666667,16.0,5.0,0.2380952380952381,7.0,4.0,0.3636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.7272727272727273,9.0,4.0,0.3076923076923077,4/24/19,26597.050781
8,2019-04-23,16.0,5.0,0.2380952380952381,7.0,4.0,0.3636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.7272727272727273,9.0,4.0,0.3076923076923077,15.0,6.0,0.2857142857142857,4/23/19,26656.390625
9,2019-04-22,7.0,4.0,0.3636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.7272727272727273,9.0,4.0,0.3076923076923077,15.0,6.0,0.2857142857142857,11.0,5.0,0.3125,4/22/19,26511.050781
10,2019-04-18,6.0,16.0,0.7272727272727273,9.0,4.0,0.3076923076923077,15.0,6.0,0.2857142857142857,11.0,5.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,5.0,4.0,0.4444444444444444,4/18/19,26559.539063
11,2019-04-17,9.0,4.0,0.3076923076923077,15.0,6.0,0.2857142857142857,11.0,5.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,5.0,4.0,0.4444444444444444,9.0,9.0,0.5,4/17/19,26449.539063
12,2019-04-16,15.0,6.0,0.2857142857142857,11.0,5.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,5.0,4.0,0.4444444444444444,9.0,9.0,0.5,8.0,14.0,0.6363636363636364,4/16/19,26452.660156
13,2019-04-15,11.0,5.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.4090909090909091,5.0,4.0,0.4444444444444444,9.0,9.0,0.5,8.0,14.0,0.6363636363636364,15.0,10.0,0.4,4/15/19,26384.769531
14,2019-04-12,13.0,9.0,0.4090909090909091,5.0,4.0,0.4444444444444444,9.0,9.0,0.5,8.0,14.0,0.6363636363636364,15.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.4,4/12/19,26412.300781
15,2019-04-11,5.0,4.0,0.4444444444444444,9.0,9.0,0.5,8.0,14.0,0.6363636363636364,15.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.4,15.0,18.0,0.5454545454545454,4/11/19,26143.050781
16,2019-04-10,9.0,9.0,0.5,8.0,14.0,0.6363636363636364,15.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.4,15.0,18.0,0.5454545454545454,12.0,12.0,0.5,4/10/19,26157.160156
17,2019-04-09,8.0,14.0,0.6363636363636364,15.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.4,15.0,18.0,0.5454545454545454,12.0,12.0,0.5,13.0,2.0,0.13333333333333333,4/9/19,26150.580078
18,2019-04-08,15.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.4,15.0,18.0,0.5454545454545454,12.0,12.0,0.5,13.0,2.0,0.13333333333333333,27.0,12.0,0.3076923076923077,4/8/19,26341.019531
