,comment,date
0,"Wonder  if   the   Chinese   are   SELLING   all   their  holding   in   US   Stocks  ???
",3 minutes ago
1,"all the stock are dropping but the index is riisng
",9 minutes ago
2,"Trade talk pessimism...totally out of the blue :D
",11 minutes ago
3,"SELL DJI 26227 / 26346 TGT 25725 SL 26550 Trading Call
",26 minutes ago
4,"Up!
",29 minutes ago
5,"Delay tactics, China comes to deal with empty hands. Trump ups ante, China folds. Game over. Trump has gut standing up to China unfair trading. He meticulously calculated and tweeted a few hours before China market opening after a long break. Trump shows X...Show more
",30 minutes ago
6,"Trump tweets...markets dive. It's entertaining.
",1 hour ago
7,"Guys Take Long Positions In Dow In 25,800 To 26,150 Range For A Target Of 26,645 By Friday. It's Time For Money Rain, Stay Blessed.
",2 hours ago
8,"Looks like the Sell in May and go away investment strategy is turning out correct for this year too. Or what do you think?
",7 hours ago
9,"Twice a year I travel overseas and from now on i will make sure I will never ever book a flight on a Boeing.... Buffet can ride on all the Boeing he likes.... . Boeing knew about problems with the 737 Max the year before Lion Air crash and did nothing abou...Show more
",12 hours ago
10,"Fed will attack short positions.
",12 hours ago
11,"dow 26100 tomorrow
",15 hours ago
12,"Chinese steal intellectual property
",16 hours ago
13,"Trump should tax funky China man 75%
",17 hours ago
14,"Just taxed the Chinese 25% on export to the US
",19 hours ago
15,"Dow will go dowN
",19 hours ago
16,"what's going with the DOW???
","May 05, 2019 2:03AM ET"
17,"Now with conservative party lost over 1300 seats in UK ,could be a massive shake up to Brexit and the market on monday
","May 04, 2019 3:50AM ET"
18,"hehe @ Drama_Bears . lol
","May 04, 2019 3:44AM ET"
19,"Stock Market Up. Gold Up. Silver Up. ONE IS LYING. The answer? STOCKS
","May 03, 2019 5:53PM ET"
20,"These companies paid no income Taxes in 2018.. . . Amazon. . Delta Air Lines. . Chevron. . General Motors. . EOG Resources. . Duke Energy. . Occidental Petroleum. . Dominion Energy. . Honeywell. . Deere &amp; Company. . American Electric Power. . Public Servic...Show more
","May 03, 2019 5:43PM ET"
21,"gold and silver up this is interesting....
","May 03, 2019 4:36PM ET"
22,"melt up？crazy
","May 03, 2019 3:00PM ET"
23,"crazy ?, money flow daily shows getting out yet market continues up, careful, careful, careful
","May 03, 2019 2:52PM ET"
24,"lol, volume
","May 03, 2019 2:20PM ET"
25,"profit taking will start in 10 minutes. ....
","May 03, 2019 1:59PM ET"
26,"For a country virtually bankrupt,21 trillion in debt,happy days
","May 03, 2019 1:39PM ET"
27,"If u think it will ,just hold and see over the weekend
","May 03, 2019 1:37PM ET"
28,"we're going to break 27.000 soon...
","May 03, 2019 1:35PM ET"
29,"What level will it go
","May 03, 2019 12:21PM ET"
30,"Beware of shorting Dow,crossing 26450 signal a  one-week rally (WH source)
","May 03, 2019 12:09PM ET"
31,"give me a break Trump. Every time the market gets Shakey this guy pulls out his (we're very close to a GREAT TRADE DEAL WITH CHINA). He has no shame.
","May 03, 2019 11:08AM ET"
32,"Be friends with the stock market if you want to make $$$.
","May 03, 2019 10:24AM ET"
33,"Strong jobs is good. But it hardly makes a case for rate cuts.
","May 03, 2019 9:53AM ET"
34,"Trumps in Big TROUBLE!!!!
","May 02, 2019 3:28PM ET"
35,"it's almost time to short this Market...When it Falls it will be like jumping out of a 100 Story Window!
","May 02, 2019 3:26PM ET"
36,"Hey' You Guy'..Your Going to miss a Big Move on the Upside on HUM..Wake Up....
","May 02, 2019 3:24PM ET"
37,"setting up nicely for Black Friday.
","May 02, 2019 2:51PM ET"
38,"another round of sale off after mobs' lunch break.
","May 02, 2019 2:07PM ET"
39,"at last this monster exasuted
","May 02, 2019 1:21PM ET"
40,"Woke up to see red for the first time in a while. Gave me a mini heart attack there!
","May 02, 2019 1:04PM ET"
41,"If the Fed is using low inflation as an excuse to not raise rates, wait till next quarter. I just paid 12 bucks for a fast food hamburger and a Coke.
","May 02, 2019 12:26PM ET"
42,"Powell said he is ""patient "" meaning he's waiting for stocks to crash first then cut rates,, question is will Trump be patient with him?
","May 02, 2019 12:18PM ET"
43,"fear not everyone, the Fed will no longer require the banks to keep stress test money on reserve, so they can use that money to buy back their own stocks and everything will be fine. well for at least another six months before the Ponzi scheme has to find ...Show more
","May 02, 2019 11:58AM ET"
44,"Looking uglier and uglier
","May 02, 2019 11:54AM ET"
45,"170 - 200 must see rebound or continued drop.
","May 02, 2019 11:45AM ET"
46,"I am enjoying this somewhat. it makes a change to see red
","May 02, 2019 11:41AM ET"
47,"shorting opportunity
","May 02, 2019 11:39AM ET"
48,"buying opportunity
","May 02, 2019 11:34AM ET"
49,"World economy, Oil,Copper all failing... this will start dropping also... i expect 25,000 soon
","May 02, 2019 11:26AM ET"
50,"sell in May. i dont see Jay
","May 02, 2019 11:23AM ET"
51,"with everything going so well they should be raising interest rates not talking about lowering. They are done for. usd is living on borrowed time until it hits Zimbabwe status then they'll get their inflation alright. At least they'll pay off the national ...Show more
","May 02, 2019 10:57AM ET"
52,"want power call friends
","May 02, 2019 10:00AM ET"
53,"SOER ,, powell cannot hold both the dollar and stocks up,, one has to let go..
","May 02, 2019 9:58AM ET"
54,"Up
","May 02, 2019 9:40AM ET"
55,"dow down or up today guys?
","May 02, 2019 5:42AM ET"
56,"25 900 should be perfect long
","May 02, 2019 1:41AM ET"
57,"Dow 18000
","May 02, 2019 12:18AM ET"
58,"Sarcasm people... can't you recognize sarcasm?
","May 01, 2019 8:59PM ET"
