,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),High_x,Low_x,Upper Bound_x,Lower Bound_x,High_y,Low_y,Upper Bound_y,Lower Bound_y,High,Low,Upper Bound,Lower Bound,label
0,2019-05-04,21,11,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,5240.189941,4938.0,10480.379882,0,5240.189941,4938.0,10480.379882,0,5240.189941,4938.0,10480.379882,0,0
1,2019-05-03,43,20,0.31746031746031744,21.0,11.0,0.34375,0.0,0.0,0.0,3893.52002,3720.48999,7787.04004,0,3893.52002,3720.48999,7787.04004,0,3893.52002,3720.48999,7787.04004,0,1
2,2019-05-02,39,21,0.35,43.0,20.0,0.31746031746031744,21.0,11.0,0.34375,3447.879883,3415.669922,6895.759766,0,3447.879883,3415.669922,6895.759766,0,3447.879883,3415.669922,6895.759766,0,1
3,2019-05-01,18,11,0.3793103448275862,39.0,21.0,0.35,43.0,20.0,0.31746031746031744,3926.919922,3841.129883,7853.839844,0,3926.919922,3841.129883,7853.839844,0,3926.919922,3841.129883,7853.839844,0,0
4,2019-04-30,18,8,0.3076923076923077,18.0,11.0,0.3793103448275862,39.0,21.0,0.35,5417.169922,5346.700195,10834.339844,0,5417.169922,5346.700195,10834.339844,0,5417.169922,5346.700195,10834.339844,0,0
5,2019-04-29,15,7,0.3181818181818182,18.0,8.0,0.3076923076923077,18.0,11.0,0.3793103448275862,5372.22998,5224.640137,10744.45996,0,5372.22998,5224.640137,10744.45996,0,5372.22998,5224.640137,10744.45996,0,1
6,2019-04-28,30,9,0.23076923076923078,15.0,7.0,0.3181818181818182,18.0,8.0,0.3076923076923077,5299.509766,5162.810059,10599.019532,0,5299.509766,5162.810059,10599.019532,0,5299.509766,5162.810059,10599.019532,0,1
7,2019-04-27,25,17,0.40476190476190477,30.0,9.0,0.23076923076923078,15.0,7.0,0.3181818181818182,5313.700195,5218.419922,10627.40039,0,5313.700195,5218.419922,10627.40039,0,5313.700195,5218.419922,10627.40039,0,0
8,2019-04-26,32,23,0.41818181818181815,25.0,17.0,0.40476190476190477,30.0,9.0,0.23076923076923078,5282.970215,5192.450195,10565.94043,0,5282.970215,5192.450195,10565.94043,0,5282.970215,5192.450195,10565.94043,0,1
9,2019-04-25,29,27,0.48214285714285715,32.0,23.0,0.41818181818181815,25.0,17.0,0.40476190476190477,5361.939941,5104.180176,10723.879882,0,5361.939941,5104.180176,10723.879882,0,5361.939941,5104.180176,10723.879882,0,0
10,2019-04-24,24,23,0.48936170212765956,29.0,27.0,0.48214285714285715,32.0,23.0,0.41818181818181815,5521.609863,5031.689941,11043.219726,0,5521.609863,5031.689941,11043.219726,0,5521.609863,5031.689941,11043.219726,0,0
11,2019-04-23,23,22,0.4888888888888889,24.0,23.0,0.48936170212765956,29.0,27.0,0.48214285714285715,5633.0,5390.97998,11266.0,0,5633.0,5390.97998,11266.0,0,5633.0,5390.97998,11266.0,0,0
12,2019-04-22,25,17,0.40476190476190477,23.0,22.0,0.4888888888888889,24.0,23.0,0.48936170212765956,5626.830078,5371.310059,11253.660156,0,5626.830078,5371.310059,11253.660156,0,5626.830078,5371.310059,11253.660156,0,1
13,2019-04-21,16,10,0.38461538461538464,25.0,17.0,0.40476190476190477,23.0,22.0,0.4888888888888889,5444.759766,5265.72998,10889.519532,0,5444.759766,5265.72998,10889.519532,0,5444.759766,5265.72998,10889.519532,0,1
14,2019-04-20,19,7,0.2692307692307692,16.0,10.0,0.38461538461538464,25.0,17.0,0.40476190476190477,5348.589844,5232.77002,10697.179688,0,5348.589844,5232.77002,10697.179688,0,5348.589844,5232.77002,10697.179688,0,1
15,2019-04-19,9,12,0.5714285714285714,19.0,7.0,0.2692307692307692,16.0,10.0,0.38461538461538464,5366.600098,5274.450195,10733.200196,0,5366.600098,5274.450195,10733.200196,0,5366.600098,5274.450195,10733.200196,0,0
16,2019-04-18,27,11,0.2894736842105263,9.0,12.0,0.5714285714285714,19.0,7.0,0.2692307692307692,5353.009766,5212.180176,10706.019532,0,5353.009766,5212.180176,10706.019532,0,5353.009766,5212.180176,10706.019532,0,1
17,2019-04-17,21,15,0.4166666666666667,27.0,11.0,0.2894736842105263,9.0,12.0,0.5714285714285714,5317.779785,5232.990234,10635.55957,0,5317.779785,5232.990234,10635.55957,0,5317.779785,5232.990234,10635.55957,0,1
18,2019-04-16,24,13,0.35135135135135137,21.0,15.0,0.4166666666666667,27.0,11.0,0.2894736842105263,5270.759766,5190.810059,10541.519532,0,5270.759766,5190.810059,10541.519532,0,5270.759766,5190.810059,10541.519532,0,1
19,2019-04-15,21,13,0.38235294117647056,24.0,13.0,0.35135135135135137,21.0,15.0,0.4166666666666667,5232.029785,5029.160156,10464.05957,0,5232.029785,5029.160156,10464.05957,0,5232.029785,5029.160156,10464.05957,0,1
20,2019-04-14,14,6,0.3,21.0,13.0,0.38235294117647056,24.0,13.0,0.35135135135135137,5195.310059,4969.310059,10390.620118,0,5195.310059,4969.310059,10390.620118,0,5195.310059,4969.310059,10390.620118,0,1
21,2019-04-13,9,6,0.4,14.0,6.0,0.3,21.0,13.0,0.38235294117647056,5186.819824,5031.200195,10373.639648,0,5186.819824,5031.200195,10373.639648,0,5186.819824,5031.200195,10373.639648,0,1
22,2019-04-05,16,12,0.42857142857142855,23.0,16.0,0.41025641025641024,36.0,22.0,0.3793103448275862,5849.5,5709.740234,11699.0,0,5849.5,5709.740234,11699.0,0,5849.5,5709.740234,11699.0,0,0
23,2019-04-04,25,23,0.4791666666666667,16.0,12.0,0.42857142857142855,23.0,16.0,0.41025641025641024,5074.129883,4897.609863,10148.259766,0,5074.129883,4897.609863,10148.259766,0,5074.129883,4897.609863,10148.259766,0,1
24,2019-04-03,53,34,0.39080459770114945,25.0,23.0,0.4791666666666667,16.0,12.0,0.42857142857142855,3831.01001,3705.139893,7662.02002,0,3831.01001,3705.139893,7662.02002,0,3831.01001,3705.139893,7662.02002,0,1
